xmltv_id,display_name,groups
MuslimNetworkTV.us@SD,Muslim Network TV,Religious
MyTimeMovieNetworkEast.us@SD,MyTime Movie Network East,Movies
Narutoenespanol.us@SD,Naruto en espanol,Animation
NashuaETV.us@SD,Nashua ETV,Education
NatickEducationChannel.us@SD,Natick Education Channel,Education
NatickGovernmentChannel.us@SD,Natick Government Channel,Legislative
NatickPublicAccessChannel.us@SD,Natick Public Access Channel,General
NationalGeographic.us@HDEast,National Geographic (United States) HD East,Documentary
NationalGeographicWild.us@HDEast,National Geographic Wild (United States) HD East,Documentary
NATTV.us@SD,NAT TV,General
NBCComedyVault.us@SD,NBC Comedy Vault,Comedy
NBCLX.us@SD,NBCLX,Entertainment
NBCLXHome.us@HD,NBC LX Home,Entertainment;Lifestyle
NBCUniverso.us@West,NBC Universo West,Entertainment
NCMEducationalKidsChannel.us@SD,NCM Educational & Kids Channel,Education;Kids
NCMGovernmentPoliticsChannel.us@SD,NCM Government & Politics Channel,Legislative
NCMMainChannel.us@SD,NCM Main Channel,General
NCTV79.us@SD,NCTV79,General
NEWKMOVIES.us@SD,NEW K.MOVIES,Movies
NEWKPOP.us@SD,NEW K-POP,Music
News12Conneticut.us@SD,News12 Conneticut,News
News12LongIsland.us@SD,News12 Long Island,News
News12NewJersey.us@SD,News12 New Jersey,News
News12PlusConnecticut.us@HD,News12+ Connecticut,News
News12PlusHudsonValley.us@HD,News12+ Hudson Valley,News
News12PlusLongIsland.us@HD,News12+ Long Island,News
News12PlusNewJersey.us@HD,News12+ New Jersey,News
News12PlusNewYork.us@HD,News12+ New York,News
Newsmax2.us@KPVMLD,Newsmax 2 KPVM-LD,News
NewsmaxSpanish.us@SD,Newsmax Spanish,News
NewsoftheWorld.us@Arabic,News of the World Arabic,News
NewsoftheWorld.us@Spanish,News of the World Spanish,News
NewsoftheWorld.us@USA,News of the World USA,News
Newsy.us@SD,Newsy,News
NinjaKidzTV.us@SD,Ninja Kidz TV,Kids
NMBTV.us@SD,NMBTV,Legislative
NorCastWeather.us@HD,NorCast Weather,Weather
Novelisima.us@SD,Novelisima,Series
NTDTV.us@East,NTD TV,General
NTDTV.us@West,NTD TV West,General
NTDTVEnglish.us@USA,NTD TV English,General;News
NYXT.us@SD,NYXT,Culture
OANPlus.us@KPVMLD,OAN Plus KPVM-LD,News
OCNTV.us@SD,OCN TV,Religious
Olelo49.us@SD,Olelo 49,Legislative
Olelo53.us@SD,Olelo 53,Culture
Olelo54.us@SD,Olelo 54,Legislative
Olelo55.us@SD,Olelo 55,Entertainment
OmideIranTV.us@SD,Omid e Iran TV,Entertainment
OntarioPublicAccessChannel.us@SD,Ontario Public Access Channel,General
OnTV4U.us@SD,OnTV4U,Shop
OrangeGovernmentAccessTV.us@SD,Orange Government Access TV,Legislative
Outlaw.us@WGGSTV,Outlaw WGGS-TV,Entertainment
OutsideTV.us@SD,Outside TV,Outdoor
OvercomersTV.us@SD,Overcomers TV,General
Overtime.us@SD,Overtime,Sports
Pac12Insider.us@SD,Pac-12 Insider,Sports
PacificIslandNetwork.us@HD,Pacific Island Network,General
PalmBeachesTV.us@SD,Palm Beaches TV,Travel
ParsTV.us@SD,Pars TV,General
PascoTV.us@SD,Pasco TV,Legislative
PayameAfghanTV.us@SD,Payam-e-Afghan TV,General
PayameArameshTV.us@SD,Payame Aramesh TV,Religious
PayamJavanTV.us@SD,Payam Javan TV,Education
PayvandTV.us@SD,Payvand TV (United States),News
PBCTapeshTV.us@SD,PBC Tapesh TV,General
PBCTVChannel20.us@SD,PBC TV Channel 20,Legislative
PBS.us@WEDQ,PBS WEDQ,Education
PBS.us@WJXT,PBS WJXT,Education
PBSKids.us@SD,PBS Kids,Education;Kids
PBSKidsAlaska.us@SD,PBS Kids Alaska,Education;Kids
PBSKidsEasternCentral.us@SD,PBS Kids Eastern/Central,Education;Kids
PBSKidsHawaii.us@SD,PBS Kids Hawaii,Education;Kids
PBSKidsMountain.us@SD,PBS Kids Mountain,Education;Kids
PBSKidsPacific.us@SD,PBS Kids Pacific,Education;Kids
PBSTravel.us@SD,PBS Travel,Lifestyle
PCTChannel26.us@SD,PCT Channel 26,General
PCTChannel27.us@SD,PCT Channel 27,General
PCTV26.us@SD,PCTV 26,Legislative
PCTV28.us@SD,PCTV 28,General
PhillyCAM.us@SD,PhillyCAM,General
PHLgovTV.us@SD,PHLgovTV,Legislative
PHXTV.us@SD,PHXTV,Legislative
PixLTV.us@SD,PixL TV,Undefined
Placid.us@EastHD,Placid,Animation
PlutoTVAdventure.us@US,Pluto TV Adventure,Entertainment;Outdoor;Series
PlutoTVCineComedia.us@US,Pluto TV Cine Comedia (United States),Movies
PlutoTVDogelcazarrecompensas.us@SD,Pluto TV Dog el cazarrecompensas,Series
PlutoTVElReinoInfantil.us@SD,Pluto TV El Reino Infantil,Undefined
PlutoTVEstrellasdeAccion.us@SD,Pluto TV Estrellas de Accion,Movies
PlutoTVFranchiseFavorites.us@SD,Pluto TV Franchise Favorites,Movies
PlutoTVHometownDrama.us@SD,Pluto TV Hometown Drama,Series
PlutoTVLosnuevosdetectives.us@SD,Pluto TV Los nuevos detectives,Undefined
PlutoTVMinutoParaGanar.us@SD,Pluto TV Minuto Para Ganar,Series
PlutoTVMisteriosMedicos.us@SD,Pluto TV Misterios Medicos,Series
PlutoTVSanctuary.us@SD,Pluto TV Sanctuary,Series
PlutoTVStorageWars.us@SD,Pluto TV Storage Wars,Series
PlutoTVTheTwilightZone.us@SD,Pluto TV The Twilight Zone,Classic;Series
PlutoTVWipeout.us@SD,Pluto TV Wipeout,Series
PoconoTelevisionNetwork.us@HD,Pocono Television Network,Travel
PomonaInternetStreamingChannel.us@SD,Pomona Internet Streaming Channel,Undefined
PositivTV.us@SD,Positiv TV,Family
PottaDivineTVUSA.us@SD,Potta-Divine TV USA,Religious
PowerNationTV.us@SD,PowerNation TV,Auto
PSDTV.us@SD,PSD TV,Education
PSLTV.us@SD,PSL TV,Legislative
PTLTVNetwork.us@SD,PTL TV Network,Religious
PursuitUP.us@SD,PursuitUP,Outdoor
RadiantTV.us@SD,RadiantTV,Religious
RadioMensajeTV.us@SD,RadioMensaje TV,Religious
RadioTeleKajou.us@SD,Radio Tele Kajou,Music
RadioTelePuissance.us@SD,Radio Tele Puissance,Religious
RadioTeleSentinel.us@SD,Radio Tele Sentinel,Religious
RadioTeleWisdom.us@SD,Radio Tele Wisdom,Religious
RadioyTelevisionMarti.us@SD,Radio y Television Marti,General
RainbowRuby.us@SD,Rainbow Ruby,Undefined
RaiWorldPremium.it@SD,"like Gecko) Chrome/149.0.0.0 Safari/537.36"" group-title=""Undefined"",Rai World Premium",Undefined
RallyTV.us@SD,Rally TV,Sports
RCTV.us@SD,RCTV (United States),Undefined
RCTV3.us@SD,RCTV3,General
RealAmericasVoice.us@KPVMLD,Real America's Voice KPVM-LD,Undefined
RealAmericasVoice.us@SD,Real America's Voice,Undefined
RedADvenirTV.bo@KSCE,RedADvenir TV KSCE,Undefined
RedApple21.us@SD,Red Apple 21,Education
Reelz.us@SD,Reelz,Documentary
RetroCrush.us@SD,RetroCrush,Animation;Classic
RevandRoll.us@SD,Rev and Roll,Undefined
REVNAction.us@SD,REV'N Action,Auto;Outdoor;Series;Sports
RevryLatinX.us@SD,Revry LatinX,Entertainment
RevryQueer.us@SD,Revry Queer,Lifestyle
RightNowTV.us@SD,Right Now TV,Entertainment;Sports
Roar.us@KCWX,Roar KCWX,Entertainment
Roar.us@KOKITV,Roar KOKI-TV,Entertainment
Roar.us@WKEF,Roar WKEF,Entertainment
Roar.us@WSBTTV,Roar WSBT-TV,Entertainment
RockyHillChannel16.us@SD,Rocky Hill Channel 16,Legislative
RTenEspanol.ru@SD,RT en Espanol,News
RTHTV1.us@SD,RTH-TV1,General
RTN.us@SD,RTN (United States),Undefined
RTRPlaneta.ru@US,RTR-Planeta US,General
RTViUS.us@SD,RTVi US,General
Runtime.us@SD,Runtime,Movies
RuntimeEspanol.us@SD,Runtime Espanol,Movies
RVTVCivic.us@SD,RVTV Civic,General
RVTVGrantsPass.us@SD,RVTV Grants Pass,General
RVTVPrime.us@SD,RVTV Prime,General
RVTVVoices.us@SD,RVTV Voices,General
SamsungWildlife.us@SD,Samsung Wildlife,Undefined
SanskarUSA.in@SD,Sanskar USA,Religious
SCCurrents.us@SD,SC Currents,News
SchwabNetwork.us@SD,Schwab Network,Business
ScientologyNetwork.us@KSCNTV,Scientology Network KSCN-TV,Undefined
ScientologyNetwork.us@WFTTTV,Scientology Network WFTT-TV,Undefined
SCorbyTV.us@HD,S Corby TV,Kids
ScottsdaleChannel11.us@SD,Scottsdale Channel 11,General
ScreenDreams.us@SD,Screen Dreams,Relax
SCVTV.us@SD,SCVTV,General
SemillitasTV.us@SD,Semillitas TV,Undefined
SFCommons29.us@SD,SF Commons 29,General
SFCommons76.us@SD,SF Commons 76,General
SFGovTV.us@SD,SFGovTV,Legislative
SFGovTV2.us@SD,SFGovTV2,General
SFree.us@HD,S Free!,General
SGTN49.us@SD,SGTN-49,General
SGTV.us@SD,SGTV,Legislative
Shabakeh7.us@SD,Shabakeh 7,Entertainment
ShalomAmerica.us@SD,Shalom America,Religious
ShemarooBollywood.us@SD,Shemaroo Bollywood,Undefined
ShoutFactoryTV.us@SD,Shout! Factory TV,General
Showtime.us@East,Showtime,Undefined
SKPop.us@HD,S KPop!,Kids;Music
SkwadPlay.us@SD,Skwad Play,Kids
SLOCountyChannel21.us@SD,SLO County Channel 21,Undefined
SlopesTV.us@SD,Slopes TV,Sports
SmartLifeStyleTV.us@SD,Smart LifeStyle TV,Lifestyle
SMCTVChannel23.us@SD,SMCTV Channel 23,Legislative
SMCTVChannel24.us@SD,SMCTV Channel 24,Education
SMCTVChannel25.us@SD,SMCTV Channel 25,General
SMetroTV.us@HD,S Metro TV,General
SmurfTV.us@SD,Smurf TV,Kids
SNLVault.us@SD,SNL Vault,Comedy
SonicTV.us@SD,Sonic TV,Animation
SonyCanalNovelas.us@SD,Sony Canal Novelas,Movies
SonyKALHindi.us@SD,Sony KAL Hindi,Undefined
SoundViewCommunityMedia.us@SD,Sound View Community Media,General
SpiritTV.us@SD,Spirit TV,Music;Religious
SPremium.us@HD,S Premium! HD,General
SPTV.us@SD,SPTV,Legislative
StarChannelInternational.gr@HD,Star Channel International,Entertainment
StingrayGreatestHolidayHits.us@SD,Stingray Greatest Holiday Hits,Music
StLuciePublicSchools.us@SD,St Lucie Public Schools,Education
StocktonGovTV.us@SD,Stockton Gov TV,Legislative
StoryTelevision.us@KPVMLD,Story Television KPVM-LD,Undefined
StoryTelevision.us@WCIUTV,Story Television WCIU-TV,Undefined
StrykTV.us@HD,Stryk TV,Music
STV.us@HD,STV (United States),General
SUMtvEnglish.us@SD,SUMtv English,Religious
SUMtvLatino.us@SD,SUMtv Latino,Religious
SuperSimpleSongs.us@SD,Super Simple Songs,Kids
SwamijiTVAmerican.at@SD,Swamiji TV American,Outdoor
SwerveSports.us@SD,Swerve Sports,Sports
TaiwanPlusTV.tw@SD,Taiwan Plus TV,Undefined
TalkinLiveClassicsTV.us@SD,Talkin Live Classics TV,Entertainment
Tapesh2.us@SD,Tapesh 2,Undefined
TAPTVChannel23.us@SD,TAP TV Channel 23,Undefined
TAPTVChannel24.us@SD,TAP TV Channel 24,General
TAPTVChannel25.us@SD,TAP TV Channel 25,General
TBCN.us@SD,TBCN,General
TBNArmenia.us@SD,TBN Armenia,Undefined
TBNInspire.us@SD,TBN Inspire,Religious
TBNPacific.us@SD,TBN Pacific,Undefined
TBNUkraine.us@SD,TBN Ukraine,Undefined
TCT.us@SD,TCT,Undefined
TeleBoston.us@SD,Tele Boston,Entertainment
TeleMIX.us@SD,TeleMIX,Entertainment
Telemundo.us@KNSD,Telemundo KNSD,General
Telemundo.us@WCAU,Telemundo WCAU,General
TelemundoAlDia.us@HD,Telemundo Al Dia,General
TelemundoCorpusChristi.us@SD,Telemundo Corpus Christi,Entertainment
TelePam.us@SD,Tele Pam,General
TemeculaTV.us@SD,Temecula TV,Undefined
Tempe11.us@SD,Tempe 11,Undefined
TerraMaterWILD.de@English,Terra Mater WILD English,Documentary
TeveVidaNetwork.us@SD,Teve Vida Network,Religious
TheAsylum.us@US,The Asylum,Series
TheBurbankChannel.us@SD,The Burbank Channel,General
TheCarolBurnettShow.us@SD,The Carol Burnett Show,Classic
TheChatShowChannel.uk@SD,The Chat Show Channel,Comedy;Series
TheCityofMarina.us@SD,The City of Marina,Legislative
TheConners.us@SD,The Conners,Comedy;Series
TheDoctors.us@HD,The Doctors,Series
theDoveTV.us@SD,theDove TV,Religious
TheFirstTV.us@SD,The First TV,News
TheGrahamNortonShow.uk@SD,The Graham Norton Show,Entertainment
TheHillTV.us@SD,The Hill TV,Undefined
TheLoop.us@SD,The Loop,Classic;Series
TheMontereyChannel.us@SD,The Monterey Channel,General
TheNowNetwork.us@SD,The Now Network,Religious
ThePeninsulaChannel.us@SD,The Peninsula Channel,Legislative
ThePointTelevsionNetwork.us@SD,The Point Televsion Network,Religious
TheWalkTV.us@SD,The Walk TV,Undefined
TheYoungTurks.us@SD,The Young Turks,News
Thornton8.us@SD,Thornton 8,Legislative
ThreesCompany.us@SD,Three's Company,Series
TimelessTV.us@SD,Timeless TV,Classic;Shop
TinTV.us@SD,Tin TV,Entertainment
TLN.ca@KQSL,TLN KQSL,Undefined
TLNMediaChicago.us@SD,TLN Media Chicago,Religious
TLNMediaSanFrancisco.us@SD,TLN Media San Francisco,Religious
TNTInternational.ru@SD,"like Gecko) Chrome/144.0.0.0 Safari/537.36"" group-title=""Entertainment"",TNT International SD",Entertainment
TomAndJerry.do@HD,Tom And Jerry,Kids
TopStoriesbyNewsy.us@SD,Top Stories by Newsy,News
TrueCrimeNetwork.us@WCVBTV,True Crime Network WCVB-TV,Series
TrueHistory.us@SD,True History,Undefined
TSTV.us@SD,TSTV,Undefined
TurismoHD.do@HD,Turismo HD,Entertainment
TUTV.us@SD,TUTV,Education
TV4.us@SD,TV4 (United States),Legislative
TVDaja.do@SD,TV Daja,General
TVEInternacionalAmerica.es@HD,TVE Internacional America HD,Undefined
TVEInternacionalAmerica.es@SD,TVE Internacional America,Undefined
TVHispanic.us@SD,TV Hispanic,General
TVPanou.ht@SD,TV Panou,General
TVSAGovernmentChannel.us@SD,TVSA Government Channel,Legislative
TVSAPublicChannel.us@SD,TVSA Public Channel,General
TVSBowlingNetwork.us@SD,TVS Bowling Network,Sports
TVSBoxing.us@SD,TVS Boxing,Sports
TVSCipherNetwork.us@SD,TVS Cipher Network,Classic
TVSClassicMovies.us@SD,TVS Classic Movies,Classic
TVSClassicSports.us@SD,TVS Classic Sports,Sports
TVSComedyNetwork.us@SD,TVS Comedy Network,Comedy
TVSConsumerDirect.us@SD,TVS Consumer Direct,Shop
TVSDriveInMovie.us@SD,TVS Drive In Movie,Movies
TVSFamilyChannel.us@SD,TVS Family Channel,Family
TVSFilmNoirNetwork.us@SD,TVS Film Noir Network,Movies
TVSFlashbackNetwork.us@SD,TVS Flashback Network,Entertainment
TVSHiTops.us@SD,TVS Hi Tops,Kids
TVSHollywoodHistory.us@SD,TVS Hollywood History,Classic
TVSMainstreet.us@SD,TVS Mainstreet,Classic
TVSMusicNetwork.us@SD,TVS Music Network,Music
TVSNostalgia.us@SD,TVS Nostalgia,Classic
TVSNostalgiaMovies.us@SD,TVS Nostalgia Movies,Classic
TVSPetParadeNetwork.us@SD,TVS Pet Parade Network,Classic
TVSPinballNetwork.us@SD,TVS Pinball Network,Kids
TVSQuizShowNetwork.us@SD,TVS Quiz Show Network,Classic
TVSSelectNetwork.us@SD,TVS Select Network,General
TVSSports.us@SD,TVS Sports,Sports
TVSSportsBureau.us@SD,TVS Sports Bureau,Sports
TVSTalkNetwork.us@SD,TVS Talk Network,Classic
TVSTallyHo.us@SD,TVS Tally Ho,Classic
TVSTavern.us@SD,TVS Tavern,Classic
TVSTelevisionNetwork.us@SD,TVS Television Network,General
TVSTravelNetwork.us@SD,TVS Travel Network,Travel
TVSTurbo.us@SD,TVS Turbo,Sports
TVSVintageNetwork.us@SD,TVS Vintage Network,Entertainment
TVSWesternMovie.us@SD,TVS Western Movie,Classic
TVSWomenSports.us@SD,TVS Women Sports,Sports
TyCSportsUSA.ar@SD,TyC Sports USA,Sports
UCTV.us@SD,UCTV,Education
Unbeaten.us@SD,Unbeaten,Sports
UniMas.us@Central,UniMas Central,Undefined
UniMas.us@KUVNDT,UniMas KUVN-DT,Undefined
UniMas.us@Mountain,UniMas Mountain,Undefined
UniMas.us@WXTVDT,UniMas WXTV-DT,Undefined
UniversalComedy.us@SD,"like Gecko) Chrome/124.0.0.0 Safari/537.36"" group-title=""Comedy;Movies;Series"",Universal Comedy",Comedy;Movies;Series
USATODAY.us@SD,USA TODAY,News
VallenatoInternacional.us@SD,Vallenato Internacional,Music
VBSTV.us@SD,VBS TV,General
VCAT.us@SD,VCAT,General
VegasLifeTV.us@HD,Vegas Life TV,General
VelayatTVNetwork.us@SD,Velayat TV Network,Religious
VenevisionInternacional.ve@SD,Venevision Internacional,General
Vevo70s.us@SD,Vevo '70s,Music
Vevo80s.us@SD,Vevo '80s,Music
Vevo90s.us@SD,Vevo '90s,Music
VevoHipHop.us@SD,Vevo Hip Hop,Music
VevoLatino.us@SD,Vevo Latino,Music
VevoRB.us@SD,Vevo R&B,Music
VevoRetroRock.us@SD,Vevo Retro Rock,Music
VICETV.us@SD,VICE TV,Undefined
VidaMejorTV.us@SD,Vida Mejor TV,Religious
VideoMixTV.us@SD,Video Mix TV,Music
VisionLatinaNetwork.us@SD,Vision Latina Network,General
VoATV.us@SD,VoA TV,News
VoATVPersian.us@SD,VoA TV Persian,News
VSCTV.us@SD,VSCTV,General
W14DKD141.us@HD,W14DK-D 14.1,Religious
W14DKD142.us@SD,W14DK-D 14.2,News
WACX551.us@SD,WACX 55.1,Undefined
WantedDeadorAlive.us@SD,Wanted: Dead or Alive,Classic
WATCDT571.us@HD,WATC-DT 57.1,Undefined
WATCDT572.us@HD,WATC-DT 57.2,Undefined
WatchitKID.us@SD,Watch it KID!,Kids
WatchitScream.us@SD,Watch it Scream!,Movies
WBTV641.us@HD,WBTV 64.1,Undefined
WCETVDigitalChannel318.us@SD,WCETV Digital Channel 31.8,General
WCOT.us@SD,WCOT,General
WeedsNurseJackie.us@SD,Weeds & Nurse Jackie,Series
WeHoTV.us@SD,WeHoTV,Undefined
Westerns4U.us@SD,Westerns 4U,Classic
WGGSTV161.us@HD,WGGS-TV 16.1,Undefined
Whiplash.us@HD,Whiplash,General
WhiplashCinema.us@SD,Whiplash Cinema,Movies
WhiplashII.us@SD,Whiplash II,General
WhitePlainsCommunityMedia.us@SD,White Plains Community Media,Undefined
WHOHTV.us@SD,WHOH-TV,General
WildNOut.us@SD,Wild 'N Out,Series
WindowTV.us@SD,Window TV,Undefined
WineWatchesWhiskey.us@HD,Wine Watches & Whiskey,Undefined
Wired2FishTV.us@SD,Wired2FishTV,Undefined
WITN22.us@SD,WITN22,General
WLMB.us@SD,WLMB,Religious
WLNGRadio.us@SD,WLNG Radio,Undefined
WomensSportsNetwork.us@SD,Women's Sports Network,Undefined
WorldChannel.us@SD,World Channel,Education
WorldChannel.us@WGTV,World Channel WGTV,Education
WorldHarvestTV.us@SD,World Harvest TV,Undefined
WPLG101.us@HD,WPLG 10.1,News
WPSTV.us@SD,WPS-TV,Education
WSOCNow.us@SD,WSOC Now,News
WVCULP.us@SD,WVCU-LP,Music
WVVHCD181.us@HD,WVVH-CD 18.1,Undefined
WWONTVChannel48.us@SD,WWON-TV Channel 48,Entertainment
XFCTV.us@SD,XFC TV,Sports
XploreTV.us@SD,Xplore TV,Entertainment
YouDotGov.us@SD,YouDotGov,Legislative
YoungHollywood.us@SD,Young Hollywood,Entertainment
YoutooAmerica.us@KVVBLD,Youtoo America KVVB-LD,Entertainment
YTATV.us@SD,YTA TV,Entertainment
YuGiOhenespanol.us@SD,Yu-Gi-Oh! en espanol,Undefined
Yuma77.us@SD,Yuma77,Legislative
YumaChannel72.us@SD,Yuma Channel 72,Legislative
YumaChannel73.us@SD,Yuma Channel 73,Legislative
ZarinTV.us@SD,Zarin TV,General
ZoomNews.us@SD,Zoom News,News
ZTV.us@SD,ZTV,General
