xmltv_id,display_name,groups
CollierTV.us@SD,Collier TV,Legislative
ComedyCentralAnimation.us@SD,Comedy Central Animation,Comedy
ComercioTV.us@SD,Comercio TV,General
Community12TV.us@SD,Community 12TV,Legislative
CommunityTVChannel189.us@SD,CommunityTV Channel 189,General
ConcertChannel.us@SD,Concert Channel,Music
ConcordTV.us@SD,Concord TV,General
ContraCostaTV.us@SD,Contra Costa TV,Legislative
CookingPanda.us@SD,Cooking Panda,Cooking
COStv.us@SD,COStv,Legislative
Create.us@SD,Create,Education
Create.us@WMPT,Create WMPT,Education
CreaTVChannel15.us@SD,CreaTV Channel 15,General
CreaTVChannel27.us@SD,CreaTV Channel 27,General
CreaTVChannel28.us@SD,CreaTV Channel 28,Education
CreaTVChannel30.us@SD,CreaTV Channel 30,General
Crime360.us@SD,Crime 360,Documentary
CruzTV.us@SD,Cruz TV,Legislative
CSatTV.us@SD,CSat TV,Religious
CTNCourtFeed.us@SD,CT-N Court Feed,Legislative
CTNLiveStream2.us@SD,CT-N Live Stream 2,Legislative
CTNTVConneticut.us@SD,CT-N TV Conneticut,Legislative
CTV.us@SD,CTV (United States),Undefined
CVCEducation.us@SD,CVC Education,Education
CVCGovernment.us@SD,CVC Government,Legislative
CVCPublic.us@SD,CVC Public,General
CVTVChannel192.us@SD,CVTV Channel 192,General
CVTVChannel194.us@SD,CVTV Channel 194,General
CypressChannel36.us@SD,Cypress Channel 36,Legislative
DareToDreamNetwork.us@SD,Dare To Dream Network,Religious
DarkMatterTV.us@SD,Dark Matter TV,Series
DaystarTV.us@SD,Daystar TV,Religious
DaystarTV.us@WSLFLD,Daystar TV WSLF-LD,Religious
DaystarTVEspanol.us@SD,Daystar TV Espanol,Religious
DCC.us@SD,DCC,Legislative
DCCouncilHearingRoom120.us@SD,DC Council Hearing Room 120,Legislative
DegaTV.us@SD,Dega TV,Music
Denver8TV.us@SD,Denver 8 TV,Legislative
DePeliculaUS.us@SD,De Pelicula US,Movies
DerryTV17.us@SD,DerryTV 17,Legislative
DerryTV23.us@SD,DerryTV 23,Education;General
DesignatedSurvivor.us@SD,Designated Survivor,Series
DetroitChannel10.us@SD,Detroit Channel 10,Legislative
DetroitChannel21.us@SD,Detroit Channel 21,General
DetroitChannel22.us@SD,Detroit Channel 22,Education
DetroitChannel68.us@SD,Detroit Channel 68,General
DidgahTV.us@SD,Didgah TV,News
DisneyChannel.us@HDEast,Disney Channel (United States) HD East,Kids
DistrictofColumbiaNetwork.us@SD,District of Columbia Network,Legislative
DiyaTV.us@SD,Diya TV,General
DKN.us@SD,DKN,Education
Docurama.us@SD,Docurama,Documentary
DontTellTheBride.uk@SD,Don't Tell The Bride,Series
DrGeneScott.us@SD,Dr. Gene Scott,Religious
DryBarComedyPlus.us@SD,Dry Bar Comedy+,Comedy
DuckHuntingTV.us@SD,Duck Hunting TV,Outdoor
DungeonTV.us@SD,Dungeon TV,Undefined
E.us@East,E! East,Entertainment
EBSCinema.us@SD,EBS Cinema,Movies
EBSMusika.us@SD,EBS Musika,Music
ElbesharaGTV.us@SD,Elbeshara GTV,Religious
ElevationChurchNetwork.us@HD,Elevation Church Network,Religious
ElRey.us@SD,El Rey,Entertainment
ElSembradorNuevaEvangelizacionESNE.us@SD,El Sembrador Nueva Evangelizacion ESNE,Religious
EntertainmentTonight.us@SD,Entertainment Tonight,Entertainment;News
EntrepreneurTV.us@SD,EntrepreneurTV,Business
EscambiaCountyTV.us@SD,Escambia County TV,Legislative
EstrellaGames.us@SD,Estrella Games,Entertainment;Family
EstrellaTV.us@WMBCTV,Estrella TV WMBC-TV,Entertainment
EWTN.us@Spanish,EWTN (United States) Spanish,Religious
ExtremaTV.us@SD,Extrema TV (United States),Undefined
FaithTV.us@SD,Faith TV,Religious
Farscape.us@SD,Farscape,Series
FashionFinds.us@SD,Fashion Finds,Lifestyle;Shop
FastTV.us@SD,Fast TV,Undefined
FCPublicMedia.us@SD,FC Public Media,General
FCTV.us@SD,FCTV,General
FernandinaBeachChannel.us@SD,Fernandina Beach Channel,Legislative
FGTV.us@SD,FGTV (United States),Legislative
FierroaFondoTV.us@SD,Fierro a Fondo TV,Auto
FilAmTVNetwork.us@HD,FilAmTV Network,General
FilmRiseForensicFiles.us@SD,FilmRise Forensic Files,Movies
FlowersTVUSA.us@SD,Flowers TV USA,Culture
FMHKids.us@SD,FMH Kids,Kids
FMHMovies.us@SD,FMH Movies,Movies
FNX.us@KVCRDT,FNX KVCR-DT,Culture
