xmltv_id,display_name,category,source_id,source_display_name,match_method,programme_count
PlutoTVAnimeMovies.us@SD,Pluto TV Anime Movies,fast,PlutoTVAnimeMovies.pluto,PLUTO - Pluto TV Anime Movies,normalized-base-id,14
PlutoTVBackcountry.us@SD,Pluto TV Backcountry,fast,PlutoTVBackcountry.pluto,PLUTO - Pluto TV Backcountry,normalized-base-id,35
PlutoTVCars.us@SD,Pluto TV Cars,fast,PlutoTVCars.pluto,PLUTO - Pluto TV Cars,normalized-base-id,36
PlutoTVComedy.us@US,Pluto TV Comedy,fast,PlutoTVComedy.pluto,PLUTO - Pluto TV Comedy,normalized-base-id,12
PlutoTVCompetition.us@SD,Pluto TV Competition,fast,PlutoTVCompetition.pluto,PLUTO - Pluto TV Competition,normalized-base-id,27
PlutoTVCrimeDrama.us@SD,Pluto TV Crime Drama,fast,PlutoTVCrimeDrama.pluto,PLUTO - Pluto TV Crime Drama,normalized-base-id,21
PlutoTVCrimeMovies.us@SD,Pluto TV Crime Movies,fast,PlutoTVCrimeMovies.pluto,PLUTO - Pluto TV Crime Movies,normalized-base-id,11
PlutoTVCultFilms.us@US,Pluto TV Cult Films,fast,PlutoTVCultFilms.pluto,PLUTO - Pluto TV Cult Films,normalized-base-id,10
PlutoTVDrama.us@US,Pluto TV Drama,fast,PlutoTVDrama.pluto,PLUTO - Pluto TV Drama,normalized-base-id,11
PlutoTVFantastic.us@SD,Pluto TV Fantastic,fast,PlutoTVFantastic.pluto,PLUTO - Pluto TV Fantastic,normalized-base-id,11
PlutoTVGameShows.us@SD,Pluto TV Game Shows,fast,PlutoTVGameShows.pluto,PLUTO - Pluto TV Game Shows,normalized-base-id,37
PlutoTVHistory.us@US,Pluto TV History,fast,PlutoTVHistory.pluto,PLUTO - Pluto TV History,normalized-base-id,27
PlutoTVHorror.us@US,Pluto TV Horror,fast,PlutoTVHorror.pluto,PLUTO - Pluto TV Horror,normalized-base-id,14
PlutoTVIcons.us@SD,Pluto TV Icons,fast,PlutoTVIcons.pluto,PLUTO - Pluto TV Icons,normalized-base-id,12
PlutoTVLives.us@US,Pluto TV Lives,fast,PlutoTVLives.pluto,PLUTO - Pluto TV Lives,normalized-base-id,22
PlutoTVMilitary.us@SD,Pluto TV Military,fast,PlutoTVMilitary.pluto,PLUTO - Pluto TV Military,normalized-base-id,28
PlutoTVNovelas.us@US,Pluto TV Novelas,fast,PlutoTVNovelas.pluto,PLUTO - Pluto TV Novelas,normalized-base-id,23
PlutoTVParanormal.us@US,Pluto TV Paranormal,fast,PlutoTVParanormal.pluto,PLUTO - Pluto TV Paranormal,normalized-base-id,24
PlutoTVReaction.us@SD,Pluto TV Reaction,fast,PlutoTVReaction.pluto,PLUTO - Pluto TV Reaction,normalized-base-id,12
PlutoTVReality.us@US,Pluto TV Pride,fast,PlutoTVReality.pluto,PLUTO - Pluto TV Reality,normalized-base-id,33
PlutoTVRomance.us@US,Pluto TV Romance,fast,PlutoTVRomance.pluto,PLUTO - Pluto TV Romance,normalized-base-id,10
PlutoTVScience.us@US,Pluto TV Science,fast,PlutoTVScience.pluto,PLUTO - Pluto TV Science,normalized-base-id,38
PlutoTVSciFi.us@US,Pluto TV Sci-Fi,fast,PlutoTVSci-Fi.pluto,PLUTO - Pluto TV Sci-Fi,normalized-base-id,20
PlutoTVSpotlight.us@SD,Pluto TV Spotlight,fast,PlutoTVSpotlight.us,Pluto TV Spotlight,base-id,22
PlutoTVStaffPicks.us@SD,Pluto TV Staff Picks,fast,PlutoTVStaffPicks.pluto,PLUTO - Pluto TV Staff Picks,normalized-base-id,14
PlutoTVTerror.us@SD,Pluto TV Terror,fast,PlutoTVTerror.pluto,PLUTO - Pluto TV Terror,normalized-base-id,12
PlutoTVThrillers.us@US,Pluto TV Thrillers,fast,PlutoTVThrillers.pluto,PLUTO - Pluto TV Thrillers,normalized-base-id,12
PlutoTVTrendingNow.us@SD,Pluto TV Trending Now,fast,PlutoTVTrendingNow.pluto,PLUTO - Pluto TV Trending Now,normalized-base-id,13
PlutoTVTrueCrime.us@US,Pluto TV True Crime,fast,PlutoTVTrueCrime.pluto,PLUTO - Pluto TV True Crime,normalized-base-id,25
PlutoTVWesterns.us@US,Pluto TV Westerns,fast,PlutoTVWesterns.pluto,PLUTO - Pluto TV Westerns,normalized-base-id,11
pocketwatch.us@SD,pocket.watch Game On,fast,pocketwatch.us,pocket.watch,base-id,85
PokerGo.us@US,PokerGO,fast,PokerGO.us,PokerGO,base-id,58
PopstarTV.us@SD,Popstar! TV,fast,Popstar!TV.us,Popstar! TV,normalized-base-id,72
Portlandia.us@SD,Portlandia,fast,Portlandia.us,Portlandia,base-id,192
PowerNationTV.us@SD,PowerNation,fast,POWERNATION.us,POWERNATION,playlist-name,193
PursuitChannel.us@SD,Pursuit Channel,local,PursuitChannel.us,Pursuit Channel,base-id,165
QVC.us@SD,QVC,fast,QVC.us,QVC,base-id,65
QVC2.us@SD,QVC 2,fast,QVC2.us,QVC2,base-id,57
QVC3.us@SD,QVC 3,local,QVC3.us,QVC3,base-id,85
Rawhide.us@SD,Rawhide,fast,Rawhide.pluto,PLUTO - Rawhide,normalized-base-id,21
RedBullTV.at@US,Red Bull TV US,sports,RedbullTV.us,Redbull TV,metadata-name,82
RetroTV.us@East,Retro TV,local,RetroTV.us,Retro TV,base-id,110
ReutersTV.us@SD,Reuters,fast,ReutersTV.us,Reuters TV,base-id,43
Revolt.us@SD,Revolt,local,Revolt.us,Revolt,base-id,100
Revry.us@SD,Revry,fast,Revry.us,Revry,base-id,113
RevryNews.us@SD,Revry News,fast,RevryNews.us,Revry News,base-id,22
RFDTV.us@SD,RFD-TV,local,RFDTV.us,RFD-TV,base-id,114
Ridiculousness.us@SD,Ridiculousness,fast,Ridiculousness.pluto,PLUTO - Ridiculousness,normalized-base-id,39
RiffTrax.us@US,RiffTrax,fast,RiffTrax.pluto,PLUTO - RiffTrax,normalized-base-id,17
Roar.us@SD,Roar,local,Roar.us,Roar,base-id,117
RVTV.us@HD,RVTV,local,RVTV.us,RVTV,base-id,132
RyanandFriends.us@SD,Ryan and Friends,fast,RyanAndFriends.us,RYAN AND FRIENDS,base-id,98
SalemNewsChannel.us@SD,Salem News Channel,fast,SalemNewsChannel.pluto,PLUTO - Salem News Channel,normalized-base-id,10
SBNTV.us@SD,SBN TV,local,SBNtv.us,SBN,base-id,77
ScientologyNetwork.us@SD,Scientology Network,local,ScientologyNetwork.us,Scientology Network,base-id,131
