xmltv_id,name,status,programme_count,selected_site,candidate_count,attempt_count,attempts,reasons
ZDF.de@HD,ZDF HD,OK,449,pickx.be,4,1,pickx.be:OK:449,broadcast_area=DE;lang=de
ZDF.de@SD,ZDF,OK,226,web.magentatv.de,26,1,web.magentatv.de:OK:226,broadcast_area=DE;iptv-country=DE;lang=de
ZDFinfo.de@HD,ZDFinfo HD,OK,235,sky.com,2,1,sky.com:OK:235,broadcast_area=DE;lang=de
ZDFinfo.de@SD,ZDFinfo,OK,238,web.magentatv.de,9,1,web.magentatv.de:OK:238,broadcast_area=DE;iptv-country=DE;lang=de
ZDFneo.de@HD,zdf_neo HD,OK,232,sky.com,3,1,sky.com:OK:232,broadcast_area=DE;lang=de
ZDFneo.de@SD,ZDFneo,OK,238,web.magentatv.de,10,1,web.magentatv.de:OK:238,broadcast_area=DE;iptv-country=DE;lang=de
ZeeOne.uk@French,Zee One French,OK,196,zee5.com,1,1,zee5.com:OK:196,broadcast_area=DE
ZeeOne.uk@German,Zee One,OK,271,zee5.com,2,2,tv.blue.ch:OK:0;zee5.com:OK:271,broadcast_area=DE;iptv-country=DE;lang=de
ZeeOne.uk@UK,Zee One,OK,315,zee5.com,1,1,zee5.com:OK:315,broadcast_area=DE
ZeeTVUK.uk@DACH,Zee TV DE,OK,285,zee5.com,1,1,zee5.com:OK:285,broadcast_area=DE
ZeeTVUK.uk@HD,Zee TV HD,OK,279,sky.com,2,1,sky.com:OK:279,broadcast_area=DE
ZeeTVUK.uk@SD,Zee TV,OK,42,meo.pt,5,1,meo.pt:OK:42,broadcast_area=DE
ZweiMusicTelevision.de@SD,Zwei Music Television,OK,112,tv.blue.ch,2,2,sky.com:OK:0;tv.blue.ch:OK:112,broadcast_area=DE;iptv-country=DE;lang=de
arte.de@HD,arte HD,OK,212,sky.com,3,1,sky.com:OK:212,broadcast_area=DE;iptv-country=DE;lang=de
arte.de@SD,ARTE,OK,210,web.magentatv.de,6,1,web.magentatv.de:OK:210,broadcast_area=DE;iptv-country=DE;lang=de
arte.fr@SD,Arte,OK,217,teliatv.ee,4,1,teliatv.ee:OK:217,lang=de
automotorundsportchannel.de@HD,auto motor und sport channel HD,NO_EPG,0,,1,1,tv.magenta.at:OK:0,broadcast_area=DE;lang=de
automotorundsportchannel.de@SD,auto motor und sport,OK,406,web.magentatv.de,8,1,web.magentatv.de:OK:406,broadcast_area=DE;lang=de
